rk,pos,name,age,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops_plus,tb,gdp,hbp,sh,sf,ibb,season,bats
1,C,Bob Schmidt,25,127,432,393,46,96,20,2,14,54,0,1,33,59,0.244,0.306,0.412,0.718,90.0,162,19,3,1,2,5,1958,Right
2,1B,Orlando Cepeda,20,148,644,603,88,188,38,4,25,96,15,11,29,84,0.312,0.342,0.512,0.854,125.0,309,18,3,0,9,7,1958,Right
3,2B,Danny O'Connell,29,107,368,306,44,71,12,2,3,23,2,1,51,35,0.232,0.34,0.314,0.654,77.0,96,7,0,9,2,0,1958,Right
4,SS,Daryl Spencer,29,148,626,539,71,138,20,5,17,74,1,0,73,60,0.256,0.343,0.406,0.75,100.0,219,17,3,3,8,4,1958,Right
5,3B,Jim Davenport,24,134,493,434,70,111,22,3,12,41,1,3,33,64,0.256,0.317,0.403,0.72,91.0,175,4,7,17,2,0,1958,Right
6,LF,Hank Sauer,41,88,277,236,27,59,8,0,12,46,0,0,35,37,0.25,0.354,0.436,0.79,110.0,103,4,4,0,2,2,1958,Right
7,CF,Willie Mays,27,152,685,600,121,208,33,11,29,96,31,6,78,56,0.347,0.419,0.583,1.002,165.0,350,11,1,0,6,12,1958,Right
8,RF,Willie Kirkland,24,122,470,418,48,108,25,6,14,56,3,2,43,69,0.258,0.332,0.447,0.779,106.0,187,5,5,0,4,7,1958,Left
9,3B,Ray Jablonski,31,86,251,230,28,53,15,1,12,46,2,0,17,50,0.23,0.287,0.461,0.748,96.0,106,11,2,0,2,2,1958,Right
10,LF,Leon Wagner,24,74,241,221,31,70,9,0,13,35,1,0,18,34,0.317,0.371,0.534,0.905,139.0,118,1,1,0,0,3,1958,Left
11,RF,Felipe Alou,23,75,204,182,21,46,9,2,4,16,4,2,19,34,0.253,0.325,0.39,0.715,91.0,71,1,1,1,1,2,1958,Right
12,C,Valmy Thomas,32,63,160,143,14,37,5,0,3,16,1,0,13,24,0.259,0.321,0.357,0.677,81.0,51,4,1,0,2,0,1958,Right
13,2B,Eddie Bressoud,26,66,154,137,19,36,5,3,0,8,0,1,14,22,0.263,0.331,0.343,0.674,81.0,47,2,0,3,0,1,1958,Right
14,UT,Whitey Lockman,31,92,141,122,15,29,5,0,2,7,0,0,13,8,0.238,0.311,0.328,0.639,71.0,40,0,0,6,0,4,1958,Left
15,LF,Bob Speake,27,66,84,71,9,15,3,0,3,10,0,1,13,15,0.211,0.333,0.38,0.714,91.0,27,1,0,0,0,1,1958,Left
16,SS,Andre Rodgers,23,22,71,63,7,13,3,1,2,11,0,0,4,14,0.206,0.243,0.381,0.624,64.0,24,2,0,0,3,0,1958,Right
17,OF,Jim King,25,34,67,56,8,12,2,1,2,8,0,1,10,8,0.214,0.343,0.393,0.736,97.0,22,0,1,0,0,1,1958,Left
18,OF,Jackie Brandt,24,18,59,52,7,13,1,0,0,3,1,0,6,5,0.25,0.328,0.269,0.597,62.0,14,0,0,1,0,0,1958,Right
19,OF,Don Taussig,26,39,54,50,10,10,0,0,1,4,0,0,3,8,0.2,0.245,0.26,0.505,36.0,13,0,0,0,0,1,1958,Right
20,UT,Bill White,24,26,36,29,5,7,1,0,1,4,1,0,7,5,0.241,0.389,0.379,0.768,107.0,11,0,0,0,0,1,1958,Left
21,IF,Jim Finigan,29,23,29,25,3,5,2,0,0,1,0,0,3,5,0.2,0.31,0.28,0.59,60.0,7,1,1,0,0,1,1958,Right
22,C,Nick Testa,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1958,Right
23,P,Johnny Antonelli,28,47,91,84,9,19,2,1,1,7,0,0,2,26,0.226,0.244,0.31,0.554,47.0,26,4,0,5,0,0,1958,Left
24,P,Rubén Gómez,30,48,76,70,8,14,4,0,0,6,1,0,1,10,0.2,0.211,0.257,0.468,25.0,18,2,0,4,0,0,1958,Right
25,P,Stu Miller,30,42,62,50,4,6,1,0,0,5,0,0,7,17,0.12,0.228,0.14,0.368,2.0,7,0,0,5,0,0,1958,Right
26,P,Mike McCormick,19,42,61,54,4,12,1,0,0,3,0,0,2,21,0.222,0.25,0.241,0.491,32.0,13,1,0,3,0,0,1958,Left
27,P,Al Worthington,29,54,51,44,6,8,1,0,0,4,0,0,2,10,0.182,0.208,0.205,0.413,11.0,9,2,0,3,2,0,1958,Right
28,P,Ramón Monzant,25,44,50,49,2,8,0,0,0,1,0,0,0,17,0.163,0.163,0.163,0.327,-12.0,8,1,0,1,0,0,1958,Right
29,P,Paul Giel,25,29,33,27,0,2,0,0,0,1,0,0,1,8,0.074,0.138,0.074,0.212,-41.0,2,0,1,4,0,0,1958,Right
30,P,Marv Grissom,40,51,11,9,0,0,0,0,0,0,0,0,1,5,0.0,0.1,0.0,0.1,-70.0,0,1,0,1,0,0,1958,Right
31,P,Gordon Jones,28,11,7,7,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1958,Right
32,P,Curt Barclay,26,6,6,6,2,4,2,0,0,0,0,0,0,2,0.667,0.667,1.0,1.667,339.0,6,0,0,0,0,0,1958,Right
33,P,Don Johnson,31,17,3,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1958,Right
34,P,Ray Crone,26,14,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1958,Right
35,P,Dom Zanni,26,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1958,Right
36,P,Jim Constable,25,9,1,1,0,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,678.0,2,0,0,0,0,0,1958,Both
37,P,John Fitzgerald,24,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1958,Left
38,P,Pete Burnside,27,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1958,Right
39,P,Joe Shipley,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1958,Right
1,C,Hobie Landrith,29,109,335,283,30,71,14,0,3,29,0,4,43,23,0.251,0.345,0.332,0.678,85.0,94,6,0,5,4,7,1959,Left
2,1B,Orlando Cepeda,21,151,648,605,92,192,35,4,27,105,23,9,33,100,0.317,0.355,0.522,0.878,134.0,316,10,5,0,4,10,1959,Right
3,2B,Daryl Spencer,30,152,622,555,59,147,20,1,12,62,5,0,58,67,0.265,0.332,0.369,0.701,89.0,205,14,0,3,5,4,1959,Right
4,SS,Eddie Bressoud,27,104,350,315,36,79,17,2,9,26,0,0,28,55,0.251,0.311,0.403,0.714,91.0,127,4,0,6,1,6,1959,Right
5,3B,Jim Davenport,25,123,510,469,65,121,16,3,6,38,0,1,28,65,0.258,0.301,0.343,0.645,74.0,161,4,2,9,2,0,1959,Right
6,LF,Jackie Brandt,25,137,471,429,63,116,16,5,12,57,11,4,35,69,0.27,0.324,0.415,0.739,98.0,178,8,0,5,2,2,1959,Right
7,CF,Willie Mays,28,151,649,575,125,180,43,5,34,104,27,4,65,58,0.313,0.381,0.583,0.964,156.0,335,11,2,0,6,9,1959,Right
8,RF,Willie Kirkland,25,126,511,463,64,126,22,3,22,68,5,3,42,84,0.272,0.335,0.475,0.81,116.0,220,6,3,0,3,3,1959,Left
9,RF,Felipe Alou,24,95,268,247,38,68,13,2,10,33,5,3,17,38,0.275,0.318,0.466,0.784,109.0,115,5,0,1,3,1,1959,Right
10,SS,Andre Rodgers,24,71,266,228,32,57,12,1,6,24,2,1,32,50,0.25,0.342,0.39,0.733,98.0,89,5,1,3,2,1,1959,Right
11,1B,Willie McCovey,21,52,219,192,32,68,9,5,13,38,2,0,22,35,0.354,0.429,0.656,1.085,188.0,126,7,4,0,1,1,1959,Left
12,C,Bob Schmidt,26,71,196,181,17,44,7,1,5,20,0,2,13,24,0.243,0.296,0.376,0.672,80.0,68,4,1,0,1,4,1959,Right
13,LF,Leon Wagner,25,87,158,129,20,29,4,3,5,22,0,0,25,24,0.225,0.361,0.419,0.779,110.0,54,4,3,0,1,6,1959,Left
14,IF,Danny O'Connell,30,34,66,58,6,11,3,0,0,0,0,1,5,15,0.19,0.254,0.241,0.495,35.0,14,0,0,3,0,0,1959,Right
15,,Dusty Rhodes,32,54,54,48,1,9,2,0,0,7,0,0,5,9,0.188,0.259,0.229,0.488,34.0,11,1,0,0,1,3,1959,Left
16,IF,José Pagán,24,31,48,46,7,8,1,0,0,1,1,0,2,8,0.174,0.208,0.196,0.404,10.0,9,0,0,0,0,0,1959,Right
17,C,Jim Hegan,38,21,31,30,0,4,1,0,0,0,0,1,1,10,0.133,0.161,0.167,0.328,-11.0,5,1,0,0,0,0,1959,Right
18,LF,Hank Sauer,42,13,15,15,1,1,0,0,1,1,0,0,0,7,0.067,0.067,0.267,0.333,-15.0,4,0,0,0,0,0,1959,Right
19,,Bob Speake,28,15,13,11,0,1,0,0,0,1,0,0,1,4,0.091,0.167,0.091,0.258,-28.0,1,1,0,1,0,0,1959,Left
20,C,Roger McCardell,26,4,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1959,Right
21,P,Johnny Antonelli,29,43,108,101,4,16,2,0,2,10,0,0,1,26,0.158,0.175,0.238,0.412,10.0,24,2,1,5,0,0,1959,Left
22,P,Sam Jones,33,50,100,85,3,11,1,0,0,8,0,0,3,30,0.129,0.157,0.141,0.298,-18.0,12,1,0,11,1,0,1959,Right
23,P,Jack Sanford,30,36,85,72,6,8,0,0,0,3,0,0,6,31,0.111,0.2,0.111,0.311,-13.0,8,1,2,5,0,0,1959,Right
24,P,Mike McCormick,20,47,82,66,3,7,1,0,0,3,0,1,4,22,0.106,0.155,0.121,0.276,-24.0,8,0,0,11,1,0,1959,Left
25,P,Stu Miller,31,59,52,45,1,2,0,0,0,0,0,0,2,8,0.044,0.104,0.044,0.149,-58.0,2,1,1,4,0,0,1959,Right
26,P,Al Worthington,30,42,13,13,0,1,0,0,0,0,0,0,0,4,0.077,0.077,0.077,0.154,-58.0,1,0,0,0,0,0,1959,Right
27,P,Eddie Fisher,22,17,9,8,0,0,0,0,0,0,0,0,1,5,0.0,0.111,0.0,0.111,-67.0,0,0,0,0,0,0,1959,Right
28,P,Gordon Jones,29,31,5,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1959,Right
29,P,Joe Shipley,24,10,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1959,Right
30,P,Dom Zanni,27,9,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,,0,0,0,0,0,0,1959,Right
31,P,Marshall Renfroe,23,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1959,Left
32,P,Billy Muffett,28,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1959,Right
33,P,Bud Byerly,39,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1959,Right
34,P,Curt Barclay,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1959,Right
1,C,Bob Schmidt,27,110,375,344,31,92,12,1,8,37,0,3,26,51,0.267,0.317,0.378,0.695,95.0,130,8,0,3,2,4,1960,Right
2,1B,Willie McCovey,22,101,307,260,37,62,15,3,13,51,1,1,45,53,0.238,0.349,0.469,0.818,128.0,122,3,0,0,2,4,1960,Left
3,2B,Don Blasingame,28,136,583,523,72,123,12,8,2,31,14,2,49,53,0.235,0.302,0.3,0.602,71.0,157,4,2,7,2,1,1960,Left
4,SS,Eddie Bressoud,28,116,432,386,37,87,19,6,9,43,1,2,35,72,0.225,0.29,0.376,0.665,86.0,145,10,2,3,5,12,1960,Right
5,3B,Jim Davenport,26,112,405,363,43,91,15,3,6,38,0,2,26,58,0.251,0.306,0.358,0.664,87.0,130,8,4,9,2,1,1960,Right
6,LF,Orlando Cepeda,22,151,615,569,81,169,36,3,24,96,15,6,34,91,0.297,0.343,0.497,0.84,134.0,283,11,8,0,4,9,1960,Right
7,CF,Willie Mays,29,153,669,595,107,190,29,12,29,103,25,10,61,70,0.319,0.381,0.555,0.936,160.0,330,15,4,0,9,11,1960,Right
8,RF,Willie Kirkland,26,146,567,515,59,130,21,10,21,65,12,7,44,86,0.252,0.315,0.454,0.769,114.0,234,4,4,2,2,8,1960,Left
9,IF,Joey Amalfitano,26,106,361,328,47,91,15,3,1,27,2,3,26,31,0.277,0.335,0.351,0.686,94.0,115,5,3,3,1,1,1960,Right
10,OF,Felipe Alou,25,106,347,322,48,85,17,3,8,44,10,2,16,42,0.264,0.299,0.41,0.709,98.0,132,9,2,3,4,1,1960,Right
11,IF,Andre Rodgers,25,81,246,217,22,53,8,5,2,22,1,1,24,44,0.244,0.325,0.355,0.68,92.0,77,7,3,0,2,4,1960,Right
12,C,Hobie Landrith,30,71,218,190,18,46,10,0,1,20,1,1,23,11,0.242,0.321,0.311,0.631,79.0,59,5,0,3,2,2,1960,Left
13,1B,Jim Marshall,29,75,136,118,19,28,2,2,2,13,0,1,17,24,0.237,0.331,0.339,0.67,89.0,40,4,0,0,1,1,1960,Left
14,UT,Dave Philley,40,39,67,61,5,10,0,0,1,7,0,0,6,14,0.164,0.239,0.213,0.452,29.0,13,2,0,0,0,0,1960,Both
15,1B,Dale Long,34,37,61,54,4,9,0,0,3,6,0,0,7,7,0.167,0.262,0.333,0.596,67.0,18,3,0,0,0,1,1960,Left
16,SS,José Pagán,25,18,50,49,8,14,2,2,0,2,2,2,1,6,0.286,0.3,0.408,0.708,97.0,20,2,0,0,0,0,1960,Right
17,C,Neil Wilson,25,6,11,10,0,0,0,0,0,0,0,0,1,2,0.0,0.091,0.0,0.091,-72.0,0,1,0,0,0,1,1960,Left
18,LF,Matty Alou,21,4,3,3,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,89.0,1,0,0,0,0,0,1960,Left
19,P,Mike McCormick,21,40,95,88,4,16,4,0,0,3,0,0,2,35,0.182,0.2,0.227,0.427,20.0,20,1,0,5,0,0,1960,Left
20,P,Sam Jones,34,39,89,80,3,16,2,0,0,5,0,0,1,20,0.2,0.207,0.225,0.432,22.0,18,0,0,7,1,0,1960,Right
21,P,Jack Sanford,31,37,85,74,8,13,1,0,0,5,0,0,5,26,0.176,0.228,0.189,0.417,19.0,14,0,0,5,0,0,1960,Right
22,P,Billy O'Dell,27,49,70,56,8,6,0,0,0,0,1,1,11,19,0.107,0.254,0.107,0.361,6.0,6,0,0,3,0,0,1960,Both
23,P,Johnny Antonelli,30,42,37,34,2,8,0,1,0,1,1,0,2,6,0.235,0.278,0.294,0.572,61.0,10,2,0,1,0,0,1960,Left
24,P,Juan Marichal,22,11,36,31,3,4,0,0,0,1,0,1,3,7,0.129,0.229,0.129,0.358,4.0,4,1,1,1,0,0,1960,Right
25,P,Stu Miller,32,47,30,25,1,5,0,0,0,0,0,0,2,8,0.2,0.259,0.2,0.459,32.0,5,0,0,3,0,0,1960,Right
26,P,Georges Maranda,28,17,12,12,0,2,0,0,0,0,0,0,0,6,0.167,0.167,0.167,0.333,-6.0,2,0,0,0,0,0,1960,Right
27,P,Sherman Jones,25,16,7,7,1,2,0,0,0,1,0,0,0,2,0.286,0.286,0.286,0.571,62.0,2,1,0,0,0,0,1960,Left
28,P,Eddie Fisher,23,3,5,5,1,3,0,0,0,1,0,0,0,1,0.6,0.6,0.6,1.2,240.0,3,0,0,0,0,0,1960,Right
29,P,Billy Loes,30,37,5,4,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,41.0,1,0,0,1,0,0,1960,Right
30,P,Bud Byerly,40,19,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1960,Right
31,P,Joe Shipley,25,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1960,Right
32,P,Ramón Monzant,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1960,Right
33,P,Don Choate,21,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1960,Right
1,C,Ed Bailey,30,107,393,340,39,81,9,1,13,51,1,5,42,41,0.238,0.324,0.385,0.709,91.0,131,8,4,1,6,6,1961,Left
2,1B,Willie McCovey,23,106,374,328,59,89,12,3,18,50,1,2,37,60,0.271,0.35,0.491,0.841,125.0,161,8,5,0,4,3,1961,Left
3,2B,Joey Amalfitano,27,109,433,384,64,98,11,4,2,23,7,4,44,59,0.255,0.331,0.32,0.651,78.0,123,2,0,4,1,2,1961,Right
4,SS,José Pagán,26,134,474,434,38,110,15,2,5,46,8,5,31,45,0.253,0.306,0.332,0.638,73.0,144,13,2,7,0,7,1961,Right
5,3B,Jim Davenport,27,137,503,436,64,121,28,4,12,65,4,3,45,65,0.278,0.342,0.443,0.785,111.0,193,10,2,12,8,1,1961,Right
6,LF,Harvey Kuenn,30,131,529,471,60,125,22,4,5,46,5,4,47,34,0.265,0.329,0.361,0.69,87.0,170,15,1,3,7,2,1961,Right
7,CF,Willie Mays,30,154,659,572,129,176,32,3,40,123,18,9,81,77,0.308,0.393,0.584,0.977,160.0,334,14,2,0,4,15,1961,Right
8,RF,Felipe Alou,26,132,447,415,59,120,19,0,18,52,11,4,26,41,0.289,0.333,0.465,0.798,113.0,193,11,2,2,2,2,1961,Right
9,UT,Orlando Cepeda,23,152,637,585,105,182,28,4,46,142,12,8,39,91,0.311,0.362,0.609,0.97,157.0,356,21,9,0,3,11,1961,Right
10,2B,Chuck Hiller,26,70,280,240,38,57,12,1,2,12,4,4,32,30,0.238,0.328,0.321,0.649,77.0,77,1,1,6,1,0,1961,Left
11,RF,Matty Alou,22,81,217,200,38,62,7,2,6,24,3,2,15,18,0.31,0.356,0.455,0.811,118.0,91,4,0,1,1,2,1961,Left
12,SS,Eddie Bressoud,29,59,128,114,14,24,6,0,3,11,1,1,11,23,0.211,0.276,0.342,0.618,66.0,39,6,0,1,2,4,1961,Right
13,C,Hobie Landrith,31,43,88,71,11,17,4,0,2,10,0,0,12,7,0.239,0.337,0.38,0.717,94.0,27,3,0,2,3,3,1961,Left
14,C,John Orsino,23,25,87,83,5,23,3,2,4,12,0,0,3,13,0.277,0.31,0.506,0.816,116.0,42,0,1,0,0,0,1961,Right
15,C,Tom Haller,24,30,73,62,5,9,1,0,2,8,0,1,9,23,0.145,0.26,0.258,0.518,41.0,16,1,1,0,1,0,1961,Left
16,IF,Ernie Bowman,25,38,40,38,10,8,0,2,0,2,2,0,1,8,0.211,0.231,0.316,0.547,46.0,12,1,0,1,0,0,1961,Right
17,UT,Jim Marshall,30,44,40,36,5,8,0,0,1,7,0,0,3,8,0.222,0.275,0.306,0.581,57.0,11,1,0,0,1,0,1961,Left
18,UT,Bob Farley,23,13,23,20,3,2,0,0,0,1,0,0,3,5,0.1,0.217,0.1,0.317,-10.0,2,0,0,0,0,0,1961,Left
19,C,Bob Schmidt,28,2,7,6,0,1,0,0,0,1,0,0,0,1,0.167,0.143,0.167,0.31,-17.0,1,0,0,0,1,0,1961,Right
20,,Don Blasingame,29,3,3,1,1,0,0,0,0,0,0,0,2,1,0.0,0.667,0.0,0.667,101.0,0,0,0,0,0,0,1961,Left
21,P,Mike McCormick,22,40,89,80,3,15,2,0,0,4,0,0,4,25,0.188,0.226,0.213,0.439,20.0,17,0,0,5,0,0,1961,Left
22,P,Jack Sanford,32,39,85,74,13,16,2,0,3,6,0,0,5,22,0.216,0.263,0.365,0.627,68.0,27,2,0,5,1,0,1961,Right
23,P,Juan Marichal,23,30,69,59,3,7,0,0,0,3,1,0,3,15,0.119,0.159,0.119,0.277,-23.0,7,2,0,5,1,0,1961,Right
24,P,Billy O'Dell,28,49,45,39,1,4,0,0,0,2,0,0,1,10,0.103,0.122,0.103,0.225,-38.0,4,0,0,4,1,0,1961,Both
25,P,Sam Jones,35,37,42,36,0,5,2,0,0,0,0,0,1,7,0.139,0.162,0.194,0.357,-4.0,7,0,0,5,0,0,1961,Right
26,P,Billy Loes,31,26,38,32,0,5,0,0,0,0,0,1,2,3,0.156,0.206,0.156,0.362,0.0,5,1,0,4,0,0,1961,Right
27,P,Dick LeMay,22,27,29,26,2,2,0,0,0,1,0,0,2,14,0.077,0.143,0.077,0.22,-38.0,2,0,0,1,0,0,1961,Left
28,P,Stu Miller,33,64,25,20,2,4,1,0,0,1,1,1,4,5,0.2,0.333,0.25,0.583,61.0,5,0,0,1,0,0,1961,Right
29,P,Jim Duffalo,25,25,18,17,2,5,2,0,1,4,0,0,1,7,0.294,0.333,0.588,0.922,143.0,10,0,0,0,0,0,1961,Right
30,P,Bobby Bolin,22,37,7,7,0,2,0,0,0,2,0,0,0,2,0.286,0.286,0.286,0.571,55.0,2,0,0,0,0,0,1961,Right
31,P,Eddie Fisher,24,15,7,7,0,1,1,0,0,0,0,0,0,4,0.143,0.143,0.286,0.429,12.0,2,0,0,0,0,0,1961,Right
32,P,Dom Zanni,29,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1961,Right
1,C,Tom Haller,25,99,332,272,53,71,13,1,18,55,1,4,51,59,0.261,0.384,0.515,0.899,141.0,140,3,4,3,1,1,1962,Left
2,1B,Orlando Cepeda,24,162,677,625,105,191,26,1,35,114,10,4,37,97,0.306,0.347,0.518,0.865,130.0,324,16,6,1,7,8,1962,Right
3,2B,Chuck Hiller,27,161,680,602,94,166,22,2,3,48,5,4,55,49,0.276,0.341,0.334,0.675,83.0,201,11,8,8,7,3,1962,Left
4,SS,José Pagán,27,164,644,580,73,150,25,6,7,57,13,9,47,77,0.259,0.312,0.359,0.671,81.0,208,15,1,10,6,4,1962,Right
5,3B,Jim Davenport,28,144,543,485,83,144,25,5,14,58,2,5,45,76,0.297,0.357,0.456,0.813,118.0,221,13,2,8,3,3,1962,Right
6,LF,Harvey Kuenn,31,130,548,487,73,148,23,5,10,68,3,6,49,37,0.304,0.365,0.433,0.799,115.0,211,9,1,6,5,3,1962,Right
7,CF,Willie Mays,31,162,706,621,130,189,36,5,49,141,18,2,78,85,0.304,0.384,0.615,0.999,165.0,382,19,4,0,3,11,1962,Right
8,RF,Felipe Alou,27,154,606,561,96,177,30,3,25,98,10,7,33,66,0.316,0.356,0.513,0.869,132.0,288,4,5,2,5,2,1962,Right
9,C,Ed Bailey,31,96,305,254,32,59,9,1,17,45,1,1,42,42,0.232,0.351,0.476,0.827,121.0,121,6,6,0,3,5,1962,Left
10,LF,Willie McCovey,24,91,262,229,41,67,6,1,20,54,3,3,29,35,0.293,0.368,0.59,0.957,154.0,135,6,0,0,3,1,1962,Left
11,OF,Matty Alou,23,78,213,195,28,57,8,1,3,14,3,1,14,17,0.292,0.349,0.39,0.739,100.0,76,3,3,1,0,0,1962,Left
12,UT,Manny Mota,24,47,84,74,9,13,1,0,0,9,3,2,7,8,0.176,0.253,0.189,0.442,22.0,14,3,1,1,1,0,1962,Right
13,C,John Orsino,24,18,54,48,4,13,2,0,0,4,0,0,5,11,0.271,0.333,0.313,0.646,76.0,15,2,0,0,1,0,1962,Right
14,IF,Ernie Bowman,26,46,46,42,9,8,1,0,1,4,0,1,1,10,0.19,0.227,0.286,0.513,38.0,12,1,1,2,0,0,1962,Right
15,LF,Bob Nieman,35,30,31,30,1,9,2,0,1,3,0,0,1,9,0.3,0.323,0.467,0.789,111.0,14,0,0,0,0,0,1962,Right
16,LF,Carl Boles,27,19,25,24,4,9,0,0,0,1,0,0,0,6,0.375,0.375,0.375,0.75,104.0,9,2,0,1,0,0,1962,Right
17,C,Joe Pignatano,32,7,9,5,2,1,0,0,0,0,0,0,4,0,0.2,0.556,0.2,0.756,115.0,1,0,0,0,0,0,1962,Right
18,SS,Cap Peterson,19,4,7,6,1,1,0,0,0,0,0,0,1,4,0.167,0.286,0.167,0.452,26.0,1,0,0,0,0,0,1962,Right
19,1B,Dick Phillips,30,5,4,3,1,0,0,0,0,1,0,0,1,1,0.0,0.25,0.0,0.25,-26.0,0,0,0,0,0,0,1962,Left
20,P,Jack Sanford,33,39,108,98,5,15,3,0,0,4,0,0,4,34,0.153,0.183,0.184,0.366,-1.0,18,4,0,4,2,0,1962,Right
21,P,Billy O'Dell,29,49,106,90,7,12,0,0,0,6,1,1,6,29,0.133,0.188,0.133,0.321,-11.0,12,1,0,10,0,0,1962,Both
22,P,Juan Marichal,24,38,102,89,13,21,1,0,0,10,0,0,4,19,0.236,0.266,0.247,0.513,40.0,22,1,0,7,1,0,1962,Right
23,P,Billy Pierce,35,30,66,56,3,12,0,0,0,5,0,0,3,12,0.214,0.254,0.214,0.469,28.0,12,1,0,7,0,0,1962,Left
24,P,Mike McCormick,23,29,30,28,3,3,0,0,1,1,0,0,2,11,0.107,0.167,0.214,0.381,2.0,6,0,0,0,0,0,1962,Left
25,P,Don Larsen,32,52,26,25,3,5,0,1,0,1,0,0,0,7,0.2,0.2,0.28,0.48,28.0,7,0,0,1,0,0,1962,Right
26,P,Bobby Bolin,23,41,24,23,3,6,2,0,0,4,0,0,1,9,0.261,0.292,0.348,0.639,72.0,8,0,0,0,0,0,1962,Right
27,P,Stu Miller,34,60,18,16,2,2,0,0,0,1,0,0,1,3,0.125,0.176,0.125,0.301,-17.0,2,0,0,1,0,0,1962,Right
28,P,Gaylord Perry,23,13,15,13,0,3,0,0,0,1,0,0,0,4,0.231,0.231,0.231,0.462,25.0,3,0,0,2,0,0,1962,Right
29,P,Jim Duffalo,26,24,8,6,0,0,0,0,0,0,0,0,1,4,0.0,0.143,0.0,0.143,-57.0,0,0,0,1,0,0,1962,Right
30,P,Dick LeMay,23,9,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,,0,0,0,0,0,0,1962,Left
31,P,Bob Garibaldi,20,9,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1962,Left
1,C,Ed Bailey,32,105,361,308,41,81,8,0,21,68,0,6,50,64,0.263,0.366,0.494,0.859,147.0,152,6,1,0,2,11,1963,Left
2,1B,Orlando Cepeda,25,156,629,579,100,183,33,4,34,97,8,3,37,70,0.316,0.366,0.563,0.929,165.0,326,18,10,0,3,11,1963,Right
3,2B,Chuck Hiller,28,111,454,417,44,93,10,2,6,33,3,2,20,23,0.223,0.261,0.3,0.561,62.0,125,13,2,13,2,0,1963,Left
4,SS,José Pagán,28,148,519,483,46,113,12,1,6,39,10,7,26,67,0.234,0.277,0.3,0.577,67.0,145,6,4,3,3,5,1963,Right
5,3B,Jim Davenport,29,147,509,460,40,116,19,3,4,36,5,2,32,87,0.252,0.297,0.333,0.63,82.0,153,11,0,11,6,4,1963,Right
6,LF,Willie McCovey,25,152,627,564,103,158,19,5,44,102,1,1,50,119,0.28,0.35,0.566,0.915,161.0,319,10,11,1,1,5,1963,Left
7,CF,Willie Mays,32,157,671,596,115,187,32,7,38,103,8,3,66,83,0.314,0.38,0.582,0.962,175.0,347,15,2,0,7,5,1963,Right
8,RF,Felipe Alou,28,157,607,565,75,159,31,9,20,82,11,2,27,87,0.281,0.319,0.474,0.793,127.0,268,13,6,5,4,3,1963,Right
9,UT,Harvey Kuenn,32,120,469,417,61,121,13,2,6,31,2,1,44,38,0.29,0.358,0.374,0.732,113.0,156,10,2,2,4,3,1963,Right
